Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Difficulty breathing,0.013,0.026,0.039,0.081,0.042,0.017,0.069,0.043,0.08,0.021,0.039,0.011,0.04,0.052,0.082,0.091,0.061,0.045,0.064,0.057,0.019,0.035,0.065,0.09,0.087,0.017,0.09,0.048,0.078,0.039,0.039,0.028,0.082,0.055,0.099,0.048,0.021,0.025,0.039,0.044,0.062,0.036,0.068,0.087,0.099,0.092,0.036,0.086,0.046,0.091,0.093,0.014,0.068,0.016,0.019,0.082,0.075,0.035,0.078,0.046,0.06,0.038,0.065,0.045,0.073,0.051,0.086,0.097,0.021,0.044,0.066,0.013,0.014,0.011,0.019,0.039,0.072,0.049,0.025,0.027,0.091,0.043,0.091,0.099,0.094,0.088,0.033,0.081,0.02,0.095,0.017,0.04,0.065,0.083,0.034,0.025,0.022,0.051,0.021,0.088
Wheezing,0.078,0.09,0.097,0.047,0.05,0.021,0.057,0.062,0.07,0.098,0.8,0.6,0.03,0.3,0.037,0.017,0.06,0.089,0.069,0.076,0.029,0.017,0.097,0.015,0.011,0.029,0.084,0.027,0.019,0.029,0.063,0.057,0.087,0.078,0.038,0.051,0.024,0.055,0.092,0.03,0.043,0.098,0.088,0.056,0.08,0.027,0.035,0.025,0.038,0.088,0.068,0.023,0.089,0.077,0.032,0.09,0.027,0.013,0.07,0.051,0.034,0.093,0.018,0.049,0.024,0.055,0.056,0.015,0.035,0.019,0.068,0.076,0.048,0.036,0.046,0.063,0.058,0.054,0.049,0.071,0.068,0.096,0.03,0.015,0.013,0.034,0.016,0.019,0.03,0.066,0.074,0.045,0.019,0.076,0.089,0.034,0.029,0.081,0.041,0.036
Coughing blood,0.064,0.076,0.018,0.2,0.073,0.053,0.037,0.092,0.031,0.038,0.6,0.8,0.8,0.85,0.2,0.2,0.2,0.026,0.034,0.7,0.071,0.087,0.063,0.097,0.062,0.054,0.032,0.02,0.084,0.061,0.099,0.085,0.057,0.025,0.023,0.018,0.037,0.076,0.051,0.076,0.5,0.6,0.054,0.043,0.011,0.042,0.074,0.7,0.08,0.087,0.091,0.064,0.02,0.072,0.076,0.012,0.098,0.087,0.069,0.023,0.055,0.032,0.077,0.098,0.042,0.077,0.027,0.096,0.067,0.097,0.089,0.071,0.091,0.05,0.096,0.057,0.034,0.071,0.09,0.045,0.048,0.099,0.038,0.014,0.057,0.041,0.065,0.049,0.051,0.097,0.081,0.036,0.097,0.055,0.072,0.052,0.024,0.097,0.066,0.07
Productive cough,0.037,0.036,0.082,0.2,0.014,0.035,0.063,0.015,0.038,0.049,0.6,0.8,0.8,0.85,0.8,0.087,0.6,0.079,0.024,0.7,0.034,0.1,0.028,0.063,0.017,0.03,0.053,0.042,0.083,0.067,0.048,0.097,0.019,0.034,0.037,0.038,0.061,0.071,0.039,0.062,0.5,0.6,0.022,0.06,0.037,0.018,0.061,0.7,0.059,0.044,0.089,0.049,0.022,0.05,0.038,0.094,0.074,0.052,0.048,0.048,0.047,0.012,0.06,0.096,0.048,0.078,0.065,0.037,0.032,0.056,0.021,0.059,0.061,0.036,0.078,0.045,0.046,0.011,0.083,0.089,0.051,0.015,0.015,0.085,0.068,0.04,0.019,0.036,0.053,0.04,0.015,0.077,0.071,0.077,0.015,0.028,0.023,0.077,0.055,0.03
Dry cough,0.071,0.087,0.037,0.2,0.099,0.011,0.054,0.072,0.02,0.01,0.6,0.8,0.8,0.85,0.8,0.085,0.6,0.015,0.021,0.7,0.098,0.084,0.086,0.059,0.084,0.071,0.087,0.066,0.049,0.067,0.027,0.084,0.069,0.025,0.077,0.059,0.053,0.036,0.07,0.096,0.5,0.6,0.045,0.073,0.02,0.048,0.048,0.7,0.051,0.061,0.011,0.037,0.3,0.09,0.066,0.014,0.092,0.097,0.052,0.075,0.035,0.098,0.042,0.087,0.055,0.041,0.074,0.045,0.016,0.069,0.042,0.075,0.041,0.074,0.081,0.035,0.079,0.037,0.045,0.092,0.068,0.044,0.052,0.069,0.062,0.093,0.08,0.057,0.022,0.039,0.3,0.3,0.32,0.3,0.014,0.3,0.3,0.3,0.02,0.32
Persistent cough,0.053,0.078,0.098,0.2,0.076,0.031,0.091,0.026,0.09,0.078,0.6,0.8,0.8,0.85,0.8,0.017,0.6,0.065,0.086,0.7,0.039,0.073,0.044,0.099,0.062,0.028,0.033,0.049,0.036,0.028,0.025,0.083,0.083,0.027,0.062,0.067,0.07,0.028,0.083,0.09,0.5,0.6,0.059,0.016,0.027,0.076,0.092,0.7,0.055,0.085,0.061,0.053,0.042,0.066,0.06,0.022,0.016,0.048,0.044,0.016,0.017,0.08,0.037,0.021,0.031,0.064,0.04,0.03,0.095,0.093,0.033,0.073,0.016,0.088,0.097,0.017,0.062,0.087,0.094,0.055,0.046,0.015,0.073,0.02,0.052,0.093,0.034,0.013,0.04,0.033,0.04,0.079,0.023,0.059,0.076,0.093,0.07,0.089,0.031,0.017
Sputum production,0.095,0.091,0.073,0.079,0.013,0.098,0.095,0.064,0.065,0.017,0.06,0.5,0.5,0.6,0.013,0.056,0.069,0.8,0.037,0.086,0.097,0.012,0.015,0.08,0.083,0.058,0.087,0.071,0.076,0.06,0.015,0.079,0.073,0.049,0.048,0.022,0.049,0.091,0.098,0.043,0.027,0.049,0.015,0.031,0.063,0.03,0.077,0.09,0.081,0.061,0.099,0.011,0.075,0.083,0.017,0.021,0.026,0.014,0.041,0.069,0.032,0.036,0.065,0.053,0.021,0.017,0.033,0.059,0.055,0.076,0.042,0.092,0.03,0.074,0.095,0.08,0.036,0.069,0.057,0.034,0.073,0.055,0.015,0.091,0.073,0.066,0.035,0.028,0.022,0.098,0.031,0.077,0.029,0.044,0.083,0.023,0.098,0.073,0.068,0.051
Hoarse voice,0.02,0.055,0.013,0.035,0.045,0.084,0.018,0.035,0.065,0.055,0.088,0.045,0.014,0.029,0.027,0.049,0.015,0.037,0.059,0.041,0.012,0.065,0.09,0.093,0.092,0.083,0.063,0.078,0.041,0.085,0.049,0.048,0.076,0.076,0.015,0.02,0.045,0.075,0.071,0.087,0.094,0.052,0.062,0.061,0.057,0.025,0.044,0.077,0.093,0.022,0.011,0.082,0.096,0.018,0.032,0.059,0.04,0.046,0.065,0.043,0.069,0.08,0.083,0.065,0.021,0.061,0.039,0.034,0.026,0.052,0.05,0.052,0.097,0.053,0.086,0.03,0.015,0.094,0.035,0.065,0.038,0.016,0.026,0.079,0.035,0.088,0.021,0.067,0.023,0.066,0.014,0.02,0.013,0.072,0.087,0.062,0.014,0.075,0.015,0.074
Difficulty speaking,0.033,0.033,0.071,0.087,0.042,0.075,0.6,0.041,0.017,0.05,0.056,0.031,0.039,0.043,0.084,0.047,0.068,0.089,0.023,0.039,0.081,0.04,0.047,0.069,0.052,0.3,0.066,0.024,0.014,0.094,0.092,0.012,0.065,0.083,0.056,0.08,0.056,0.062,0.041,0.029,0.085,0.013,0.075,0.044,0.1,0.017,0.017,0.094,0.03,0.055,0.062,0.059,0.048,0.076,0.086,0.057,0.015,0.053,0.057,0.05,0.034,0.085,0.036,0.032,0.032,0.079,0.043,0.051,0.077,0.02,0.032,0.076,0.089,0.043,0.042,0.056,0.092,0.069,0.064,0.05,0.048,0.061,0.084,0.021,0.058,0.08,0.047,0.063,0.022,0.033,0.036,0.038,0.017,0.048,0.098,0.062,0.067,0.08,0.091,0.089
Loss of smell,0.3,0.021,0.034,0.06,0.094,0.077,0.021,0.013,0.049,0.072,0.099,0.022,0.088,0.093,0.091,0.042,0.046,0.06,0.074,0.021,0.091,0.091,0.063,0.065,0.099,0.014,0.076,0.042,0.05,0.047,0.05,0.085,0.036,0.053,0.022,0.027,0.079,0.092,0.094,0.018,0.091,0.4,0.043,0.068,0.044,0.049,0.056,0.063,0.095,0.019,0.037,0.041,0.061,0.091,0.062,0.086,0.048,0.039,0.039,0.026,0.023,0.083,0.076,0.099,0.029,0.057,0.062,0.065,0.019,0.036,0.021,0.035,0.05,0.09,0.036,0.093,0.099,0.078,0.093,0.07,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.011,0.085,0.012,0.028,0.095,0.061,0.076,0.057,0.085,0.037,0.02
Loss of taste,0.3,0.086,0.05,0.049,0.034,0.088,0.099,0.076,0.02,0.042,0.017,0.081,0.075,0.039,0.056,0.035,0.067,0.056,0.08,0.074,0.038,0.093,0.049,0.094,0.081,0.039,0.086,0.07,0.089,0.013,0.067,0.011,0.022,0.044,0.095,0.071,0.034,0.024,0.083,0.076,0.035,0.4,0.089,0.096,0.087,0.077,0.01,0.016,0.06,0.029,0.026,0.048,0.034,0.044,0.063,0.067,0.054,0.069,0.026,0.037,0.031,0.036,0.054,0.082,0.045,0.042,0.053,0.019,0.02,0.089,0.078,0.036,0.097,0.039,0.07,0.02,0.052,0.039,0.02,0.073,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.09,0.08,0.015,0.079,0.034,0.039,0.045,0.05,0.046,0.092,0.034
Sensitivity to noise,0.076,0.041,0.084,0.038,0.047,0.062,0.025,0.029,0.066,0.095,0.065,0.04,0.064,0.012,0.075,0.082,0.018,0.073,0.092,0.079,0.06,0.069,0.057,0.5,0.028,0.024,0.058,0.087,0.031,0.082,0.092,0.04,0.029,0.076,0.095,0.013,0.012,0.095,0.019,0.046,0.054,0.024,0.037,0.031,0.08,0.032,0.035,0.021,0.081,0.069,0.022,0.077,0.034,0.018,0.017,0.075,0.079,0.047,0.011,0.085,0.064,0.024,0.076,0.081,0.027,0.065,0.038,0.039,0.056,0.012,0.035,0.028,0.034,0.069,0.052,0.036,0.018,0.097,0.06,0.054,0.092,0.058,0.032,0.012,0.055,0.045,0.044,0.059,0.02,0.03,0.098,0.046,0.031,0.043,0.061,0.068,0.04,0.083,0.098,0.019
Loss of balance,0.3,0.088,0.054,0.032,0.023,0.065,0.4,0.075,0.061,0.031,0.079,0.033,0.038,0.04,0.024,0.039,0.061,0.047,0.011,0.072,0.078,0.082,0.059,0.038,0.069,0.039,0.074,0.056,0.087,0.099,0.017,0.019,0.073,0.044,0.078,0.025,0.077,0.025,0.049,0.097,0.014,0.048,0.025,0.082,0.054,0.077,0.059,0.046,0.037,0.049,0.036,0.093,0.071,0.057,0.065,0.043,0.069,0.023,0.057,0.028,0.065,0.074,0.057,0.033,0.052,0.094,0.093,0.075,0.087,0.022,0.057,0.085,0.011,0.047,0.024,0.016,0.098,0.038,0.027,0.072,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.094,0.035,0.084,0.088,0.063,0.038,0.066,0.046,0.033,0.059,0.069
Coordination problems,0.017,0.024,0.076,0.035,0.034,0.019,0.082,0.063,0.079,0.04,0.079,0.063,0.035,0.083,0.088,0.07,0.053,0.025,0.081,0.099,0.018,0.082,0.023,0.025,0.089,0.039,0.091,0.015,0.056,0.05,0.07,0.039,0.055,0.021,0.06,0.044,0.045,0.053,0.038,0.057,0.058,0.089,0.086,0.096,0.095,0.085,0.074,0.086,0.06,0.054,0.081,0.072,0.06,0.049,0.041,0.012,0.043,0.052,0.07,0.076,0.029,0.06,0.1,0.095,0.044,0.026,0.077,0.011,0.05,0.057,0.011,0.038,0.6,0.043,0.033,0.093,0.065,0.013,0.035,0.053,0.014,0.073,0.033,0.066,0.097,0.084,0.088,0.093,0.1,0.067,0.054,0.053,0.089,0.078,0.083,0.013,0.013,0.09,0.024,0.076
Muscle cramps,0.088,0.022,0.048,0.086,0.015,0.067,0.016,0.019,0.059,0.099,0.027,0.065,0.012,0.085,0.086,0.038,0.074,0.092,0.063,0.095,0.056,0.095,0.046,0.085,0.07,0.016,0.084,0.055,0.076,0.018,0.05,0.035,0.028,0.055,0.026,0.077,0.085,0.01,0.035,0.042,0.041,0.061,0.073,0.061,0.052,0.02,0.018,0.076,0.027,0.063,0.097,0.079,0.081,0.03,0.044,0.017,0.075,0.032,0.085,0.068,0.091,0.027,0.078,0.022,0.015,0.074,0.026,0.023,0.038,0.03,0.027,0.09,0.026,0.037,0.073,0.034,0.054,0.062,0.041,0.068,0.05,0.067,0.085,0.013,0.085,0.045,0.058,0.029,0.073,0.041,0.083,0.082,0.029,0.073,0.055,0.085,0.081,0.018,0.08,0.033
Muscle weakness,0.052,0.013,0.02,0.069,0.027,0.023,0.3,0.044,0.044,0.063,0.013,0.073,0.067,0.088,0.011,0.048,0.04,0.068,0.019,0.092,0.038,0.3,0.027,0.012,0.6,0.8,0.3,0.2,0.046,0.31,0.033,0.044,0.04,0.071,0.037,0.097,0.089,0.079,0.091,0.056,0.048,0.08,0.096,0.046,0.013,0.056,0.093,0.09,0.097,0.095,0.028,0.098,0.078,0.022,0.04,0.096,0.097,0.038,0.079,0.082,0.051,0.025,0.01,0.023,0.089,0.037,0.017,0.031,0.028,0.018,0.032,0.072,0.086,0.044,0.053,0.041,0.4,0.072,0.073,0.092,0.07,0.085,0.074,0.079,0.019,0.022,0.079,0.022,0.08,0.091,0.084,0.076,0.048,0.045,0.016,0.054,0.077,0.063,0.03,0.065
Muscle twitching,0.079,0.043,0.041,0.084,0.065,0.078,0.092,0.068,0.022,0.027,0.029,0.049,0.041,0.069,0.048,0.036,0.045,0.084,0.013,0.096,0.048,0.025,0.071,0.085,0.052,0.4,0.072,0.019,0.088,0.082,0.011,0.039,0.062,0.045,0.051,0.054,0.096,0.046,0.079,0.037,0.033,0.067,0.064,0.082,0.051,0.044,0.8,0.04,0.058,0.043,0.081,0.098,0.4,0.045,0.071,0.024,0.04,0.094,0.063,0.028,0.083,0.075,0.051,0.014,0.035,0.021,0.054,0.043,0.4,0.072,0.033,0.04,0.037,0.084,0.059,0.026,0.042,0.012,0.039,0.067,0.064,0.042,0.013,0.076,0.032,0.018,0.019,0.075,0.067,0.049,0.4,0.4,0.42,0.4,0.084,0.4,0.4,0.4,0.6,0.42
Joint swelling,0.044,0.023,0.098,0.5,0.089,0.044,0.098,0.017,0.093,0.5,0.048,0.012,0.096,0.033,0.069,0.089,0.085,0.049,0.02,0.027,0.033,0.037,0.056,0.087,0.032,0.082,0.044,0.053,0.078,0.049,0.077,0.08,0.035,0.07,0.064,0.092,0.071,0.035,0.3,0.012,0.047,0.022,0.034,0.064,0.098,0.039,0.03,0.012,0.039,0.016,0.6,0.4,0.084,0.063,0.067,0.04,0.045,0.094,0.011,0.041,0.041,0.05,0.052,0.077,0.029,0.3,0.071,0.033,0.013,0.087,0.2,0.3,0.061,0.041,0.029,0.3,0.043,0.3,0.62,0.3,0.013,0.066,0.025,0.042,0.049,0.1,0.012,0.098,0.06,0.054,0.031,0.093,0.022,0.065,0.086,0.019,0.03,0.099,0.061,0.026
Joint redness,0.024,0.08,0.076,0.046,0.047,0.078,0.048,0.064,0.039,0.3,0.02,0.09,0.096,0.079,0.039,0.058,0.045,0.087,0.055,0.052,0.084,0.05,0.093,0.026,0.036,0.058,0.04,0.052,0.026,0.092,0.045,0.069,0.098,0.047,0.067,0.066,0.022,0.066,0.6,0.064,0.076,0.095,0.039,0.032,0.061,0.052,0.018,0.043,0.077,0.09,0.069,0.4,0.088,0.087,0.025,0.043,0.089,0.026,0.094,0.093,0.039,0.036,0.091,0.029,0.052,0.032,0.064,0.099,0.082,0.098,0.055,0.6,0.064,0.04,0.093,0.024,0.052,0.6,0.62,0.6,0.071,0.088,0.1,0.088,0.016,0.048,0.033,0.074,0.021,0.08,0.068,0.058,0.012,0.053,0.075,0.036,0.046,0.084,0.079,0.043
Bone pain,0.4,0.056,0.068,0.049,0.021,0.023,0.034,0.084,0.078,0.02,0.025,0.047,0.041,0.092,0.082,0.029,0.019,0.068,0.017,0.091,0.054,0.032,0.033,0.037,0.05,0.081,0.073,0.061,0.063,0.079,0.023,0.036,0.03,0.043,0.043,0.036,0.095,0.024,0.6,0.053,0.05,0.037,0.6,0.073,0.023,0.036,0.045,0.067,0.013,0.029,0.037,0.4,0.033,0.075,0.077,0.1,0.047,0.066,0.025,0.041,0.6,0.7,0.8,0.7,0.3,0.3,0.025,0.4,0.5,0.6,0.3,0.6,0.9,0.3,0.5,0.8,0.08,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.07,0.046,0.019,0.04,0.016,0.06,0.058,0.077,0.089,0.8,0.015
Fractures,0.061,0.032,0.033,0.077,0.072,0.069,0.032,0.072,0.051,0.014,0.065,0.06,0.018,0.027,0.085,0.016,0.091,0.057,0.015,0.03,0.063,0.062,0.052,0.058,0.08,0.039,0.067,0.028,0.02,0.018,0.028,0.059,0.029,0.054,0.061,0.062,0.088,0.02,0.09,0.08,0.028,0.083,0.065,0.051,0.01,0.078,0.064,0.054,0.026,0.056,0.056,0.096,0.037,0.088,0.032,0.035,0.061,0.038,0.05,0.098,0.095,0.054,0.039,0.098,0.052,0.025,0.016,0.049,0.037,0.093,0.05,0.067,0.058,0.026,0.08,0.079,0.029,0.055,0.039,0.058,0.019,0.037,0.065,0.061,0.024,0.024,0.079,0.081,0.087,0.065,0.024,0.096,0.098,0.069,0.081,0.08,0.034,0.094,0.052,0.087
Limp,0.037,0.023,0.04,0.042,0.077,0.05,0.048,0.045,0.048,0.079,0.046,0.097,0.042,0.082,0.098,0.079,0.012,0.073,0.029,0.075,0.037,0.044,0.039,0.081,0.039,0.06,0.028,0.029,0.055,0.087,0.02,0.032,0.039,0.053,0.075,0.052,0.097,0.014,0.069,0.072,0.092,0.054,0.035,0.065,0.044,0.019,0.068,0.035,0.043,0.093,0.02,0.022,0.077,0.039,0.08,0.047,0.024,0.024,0.037,0.028,0.018,0.032,0.062,0.079,0.033,0.058,0.036,0.012,0.079,0.016,0.081,0.074,0.038,0.087,0.2,0.05,0.09,0.027,0.052,0.051,0.04,0.071,0.073,0.033,0.077,0.012,0.021,0.047,0.046,0.054,0.014,0.058,0.092,0.056,0.011,0.049,0.013,0.055,0.082,0.081
Hand tremor,0.054,0.062,0.067,0.076,0.061,0.098,0.08,0.058,0.082,0.086,0.018,0.093,0.065,0.099,0.078,0.079,0.049,0.035,0.051,0.089,0.077,0.069,0.017,0.068,0.041,0.057,0.072,0.084,0.049,0.012,0.062,0.011,0.085,0.012,0.03,0.048,0.033,0.03,0.071,0.039,0.051,0.07,0.079,0.062,0.042,0.089,0.088,0.024,0.08,0.029,0.026,0.012,0.064,0.086,0.08,0.059,0.096,0.039,0.038,0.031,0.029,0.037,0.048,0.034,0.094,0.03,0.042,0.022,0.091,0.05,0.085,0.044,0.05,0.077,0.077,0.044,0.4,0.046,0.029,0.044,0.083,0.018,0.026,0.092,0.075,0.021,0.078,0.021,0.054,0.064,0.077,0.039,0.027,0.099,0.082,0.042,0.033,0.02,0.051,0.011
Foot pain,0.4,0.046,0.087,0.042,0.095,0.085,0.049,0.086,0.037,0.1,0.018,0.068,0.045,0.052,0.096,0.035,0.068,0.039,0.023,0.032,0.061,0.022,0.024,0.073,0.079,0.016,0.082,0.088,0.069,0.043,0.047,0.024,0.026,0.094,0.097,0.077,0.083,0.026,0.6,0.02,0.025,0.055,0.6,0.066,0.092,0.034,0.039,0.08,0.04,0.09,0.013,0.4,0.092,0.014,0.044,0.064,0.057,0.024,0.011,0.091,0.6,0.7,0.8,0.7,0.3,0.3,0.058,0.4,0.5,0.6,0.038,0.6,0.9,0.3,0.5,0.8,0.065,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.09,0.019,0.03,0.027,0.069,0.04,0.098,0.07,0.057,0.8,0.09
Heel pain,0.4,0.022,0.048,0.07,0.062,0.094,0.013,0.092,0.045,0.014,0.028,0.026,0.023,0.013,0.082,0.025,0.039,0.061,0.054,0.041,0.067,0.084,0.062,0.051,0.029,0.066,0.059,0.021,0.035,0.079,0.093,0.04,0.09,0.033,0.083,0.054,0.059,0.07,0.6,0.041,0.057,0.016,0.6,0.068,0.097,0.021,0.03,0.051,0.02,0.06,0.037,0.4,0.038,0.049,0.099,0.017,0.088,0.055,0.046,0.095,0.6,0.7,0.8,0.7,0.3,0.3,0.042,0.4,0.5,0.6,0.057,0.6,0.9,0.3,0.5,0.8,0.044,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.095,0.037,0.091,0.097,0.09,0.052,0.022,0.094,0.01,0.8,0.06
Ankle pain,0.4,0.093,0.065,0.096,0.015,0.047,0.023,0.084,0.079,0.083,0.096,0.032,0.081,0.068,0.045,0.027,0.085,0.016,0.097,0.035,0.09,0.021,0.077,0.095,0.024,0.05,0.071,0.078,0.011,0.021,0.038,0.019,0.067,0.052,0.069,0.037,0.021,0.077,0.6,0.016,0.098,0.092,0.6,0.034,0.099,0.044,0.09,0.02,0.052,0.063,0.089,0.4,0.082,0.078,0.03,0.019,0.1,0.064,0.064,0.043,0.6,0.7,0.8,0.7,0.3,0.3,0.088,0.4,0.5,0.6,0.033,0.6,0.9,0.3,0.5,0.8,0.019,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.093,0.044,0.064,0.063,0.081,0.096,0.062,0.021,0.079,0.8,0.071
Knee pain,0.4,0.048,0.045,0.077,0.041,0.081,0.087,0.062,0.057,0.095,0.083,0.067,0.08,0.07,0.012,0.061,0.012,0.095,0.019,0.093,0.082,0.076,0.086,0.033,0.084,0.041,0.098,0.032,0.05,0.014,0.051,0.099,0.034,0.081,0.029,0.079,0.059,0.039,0.6,0.041,0.083,0.086,0.6,0.04,0.065,0.077,0.085,0.03,0.085,0.019,0.075,0.4,0.038,0.055,0.027,0.044,0.034,0.074,0.042,0.083,0.6,0.7,0.8,0.7,0.3,0.3,0.092,0.4,0.5,0.6,0.058,0.6,0.9,0.3,0.5,0.8,0.089,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.017,0.1,0.05,0.014,0.059,0.07,0.035,0.055,0.085,0.8,0.032
Hip pain,0.4,0.068,0.029,0.011,0.032,0.012,0.065,0.085,0.047,0.06,0.061,0.047,0.086,0.062,0.066,0.09,0.098,0.077,0.074,0.098,0.082,0.034,0.043,0.091,0.094,0.039,0.042,0.096,0.022,0.087,0.099,0.032,0.058,0.022,0.098,0.081,0.056,0.053,0.6,0.083,0.064,0.075,0.6,0.068,0.06,0.099,0.052,0.062,0.015,0.066,0.055,0.4,0.096,0.025,0.06,0.06,0.015,0.041,0.088,0.023,0.6,0.7,0.8,0.7,0.3,0.3,0.074,0.4,0.5,0.6,0.099,0.6,0.9,0.3,0.5,0.8,0.061,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.065,0.058,0.076,0.076,0.032,0.064,0.078,0.026,0.026,0.8,0.055
Shoulder stiffness,0.021,0.018,0.095,0.062,0.095,0.045,0.047,0.073,0.022,0.041,0.019,0.042,0.074,0.089,0.055,0.027,0.046,0.03,0.099,0.067,0.041,0.078,0.057,0.012,0.065,0.098,0.015,0.044,0.025,0.097,0.058,0.01,0.045,0.012,0.091,0.061,0.087,0.096,0.5,0.066,0.026,0.03,0.041,0.088,0.092,0.064,0.062,0.09,0.074,0.089,0.7,0.023,0.084,0.013,0.013,0.058,0.7,0.095,0.083,0.3,0.036,0.041,0.026,0.057,0.091,0.055,0.064,0.1,0.093,0.094,0.6,0.5,0.045,0.05,0.02,0.5,0.04,0.5,0.52,0.5,0.027,0.046,0.042,0.092,0.093,0.083,0.092,0.074,0.086,0.019,0.057,0.07,0.039,0.057,0.062,0.058,0.045,0.059,0.028,0.039
Finger numbness,0.05,0.028,0.095,0.048,0.049,0.2,0.2,0.019,0.061,0.065,0.038,0.099,0.079,0.079,0.073,0.057,0.014,0.095,0.038,0.063,0.091,0.2,0.068,0.077,0.5,0.014,0.2,0.6,0.097,0.22,0.084,0.089,0.076,0.057,0.026,0.043,0.073,0.092,0.019,0.095,0.09,0.074,0.017,0.028,0.029,0.068,0.011,0.093,0.029,0.072,0.093,0.01,0.032,0.083,0.085,0.099,0.099,0.084,0.043,0.085,0.014,0.023,0.032,0.07,0.089,0.048,0.061,0.088,0.066,0.028,0.089,0.076,0.035,0.2,0.047,0.047,0.8,0.091,0.084,0.054,0.064,0.066,0.046,0.073,0.05,0.07,0.03,0.067,0.02,0.091,0.054,0.027,0.039,0.095,0.033,0.071,0.094,0.046,0.058,0.036
Finger pain,0.4,0.02,0.021,0.084,0.09,0.096,0.06,0.055,0.021,0.1,0.052,0.02,0.031,0.085,0.027,0.079,0.083,0.032,0.065,0.049,0.023,0.064,0.014,0.094,0.079,0.027,0.029,0.039,0.061,0.095,0.041,0.096,0.093,0.042,0.028,0.068,0.045,0.024,0.6,0.016,0.027,0.027,0.6,0.049,0.088,0.016,0.032,0.058,0.06,0.023,0.097,0.4,0.072,0.047,0.058,0.066,0.025,0.094,0.043,0.023,0.6,0.7,0.8,0.7,0.3,0.3,0.021,0.4,0.5,0.6,0.017,0.6,0.9,0.3,0.5,0.8,0.065,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.067,0.026,0.097,0.1,0.089,0.043,0.012,0.082,0.023,0.8,0.074
Hand swelling,0.059,0.03,0.046,0.5,0.042,0.095,0.048,0.048,0.076,0.5,0.045,0.043,0.039,0.046,0.075,0.029,0.03,0.027,0.028,0.089,0.069,0.066,0.091,0.059,0.079,0.047,0.068,0.029,0.023,0.02,0.069,0.037,0.085,0.08,0.066,0.015,0.03,0.06,0.3,0.045,0.057,0.026,0.05,0.072,0.045,0.07,0.035,0.077,0.061,0.024,0.046,0.08,0.028,0.047,0.052,0.088,0.022,0.094,0.038,0.094,0.065,0.076,0.089,0.071,0.081,0.3,0.011,0.088,0.015,0.087,0.038,0.3,0.028,0.024,0.029,0.3,0.4,0.3,0.32,0.3,0.053,0.073,0.036,0.019,0.061,0.091,0.024,0.047,0.058,0.066,0.024,0.06,0.052,0.098,0.072,0.091,0.098,0.07,0.023,0.05
